k(t),k(t+1),Prob.
10,4,0.0807015995467865
10,5,0.1411643260386935
10,6,0.11642792563828525
10,7,0.1852898362627984
10,8,0.16629970063910837
10,9,0.19279722957893963
10,10,0.047369118655327266
10,11,0.027169813289704626
10,12,0.008221286545590236
10,13,0.0009486099860296426
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.0
10,18,0.0
10,19,0.0
10,20,0.0
11,1,0.0
11,2,0.0012970286626777865
11,3,0.017293715502370487
11,4,0.047341546187739204
11,5,0.1281464318725653
11,6,0.19066321341363462
11,7,0.09005084715162917
11,8,0.16731669748543446
11,9,0.17841349826612216
11,10,0.0887167605271606
11,11,0.07664260279459648
11,12,0.0019455429940166797
11,13,0.012172115142053073
11,14,0.0
11,15,0.0
11,16,0.0
11,17,0.0
11,18,0.0
11,19,0.0
11,20,0.0
12,1,0.0
12,2,0.0071177484086491416
12,3,0.14710013377874892
12,4,0.06761860988216685
12,5,0.1508962662633618
12,6,0.14710013377874892
12,7,0.16472503460016583
12,8,0.16548765050109254
12,9,0.04428821232048355
12,10,0.04128294077016502
12,11,0.0323534018574961
12,12,0.03202986783892114
12,13,0.0
12,14,0.0
12,15,0.0
12,16,0.0
12,17,0.0
12,18,0.0
12,19,0.0
12,20,0.0
13,1,0.0
13,2,0.0
13,3,0.038258757280481406
13,4,0.0
13,5,0.06121401164877025
13,6,0.10202335274795041
13,7,0.15850056587628011
13,8,0.07651751456096281
13,9,0.32732492339967423
13,10,0.034432881552433264
13,11,0.2017279929334474
13,12,0.0
13,13,0.0
13,14,0.0
13,15,0.0
13,16,0.0
13,17,0.0
13,18,0.0
13,19,0.0
13,20,0.0
14,1,
14,2,
14,3,
14,4,
14,5,
14,6,
14,7,
14,8,
14,9,
14,10,
14,11,
14,12,
14,13,
14,14,
14,15,
14,16,
14,17,
14,18,
14,19,
14,20,
15,1,
15,2,
15,3,
15,4,
15,5,
15,6,
15,7,
15,8,
15,9,
15,10,
15,11,
15,12,
15,13,
15,14,
15,15,
15,16,
15,17,
15,18,
15,19,
15,20,
16,1,
16,2,
16,3,
16,4,
16,5,
16,6,
16,7,
16,8,
16,9,
16,10,
16,11,
16,12,
16,13,
16,14,
16,15,
16,16,
16,17,
16,18,
16,19,
16,20,
17,1,
17,2,
17,3,
17,4,
17,5,
17,6,
17,7,
17,8,
17,9,
17,10,
17,11,
17,12,
17,13,
17,14,
17,15,
17,16,
17,17,
17,18,
17,19,
17,20,
18,1,
18,2,
18,3,
18,4,
18,5,
18,6,
18,7,
18,8,
18,9,
18,10,
18,11,
18,12,
18,13,
18,14,
18,15,
18,16,
18,17,
18,18,
18,19,
18,20,
19,1,
19,2,
19,3,
19,4,
19,5,
19,6,
19,7,
19,8,
19,9,
19,10,
19,11,
19,12,
19,13,
19,14,
19,15,
19,16,
19,17,
19,18,
19,19,
19,20,
20,1,
20,2,
20,3,
20,4,
20,5,
20,6,
20,7,
20,8,
20,9,
20,10,
20,11,
20,12,
20,13,
20,14,
20,15,
20,16,
20,17,
20,18,
20,19,
20,20,
